complaint_id,product,sub_product,issue,sub_issue,company,state,date_received,company_response,timely,complaint_what_happened
9999983,Credit card,General-purpose credit card or charge card,Getting a credit card,Card opened without my consent or knowledge,JPMORGAN CHASE & CO.,MA,2024-09-03T22:07:34.000Z,Closed with explanation,Yes,"Chae bank called me about a fraudulent case application. They gave me a case number XXXX, tranferred me CFPB. During the call, long silent when agent said is looking at the report, then cut off. No call back was done."
9999323,Credit card,General-purpose credit card or charge card,Getting a credit card,Application denied,CAPITAL ONE FINANCIAL CORPORATION,FL,2024-09-03T22:25:57.000Z,Closed with explanation,Yes,"I, XXXX XXXX, on this XX/XX/XXXX, submit this CFPB complaint against Capital One Auto Finance. I allege that on or about XX/XX/XXXX, Capital One Auto Finance discriminated against me as defined by 12 CFR 1002.2 ( n ), which states that discrimination means treating an applicant less favorably than others. For further reference, please see the attachments. 

Thank you."
9999322,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"Block, Inc.",OK,2024-09-03T23:33:19.000Z,Closed with monetary relief,Yes,"I made a purchase using Afterpay with XXXX through the afterpay app. My delivery was supposed to be scheduled within XXXX hours of placing the order. When I went into the app to check on my order, it did not go through, but Afterpay still charged me a down payment. I then ( admittedly stupid ) another order using a diffrent preloaded card via Afterpay. I was charged again before the order went through. I went to pay and the card was declined. I've submitted disputes with them, tried to explain what happened ( via email, apparently there is no phone number to call ) and it was closed with them saying I need XXXX to send me an email with the last XXXX of the card numbers used, and have XXXX say the transaction did not go through. The problem is XXXX has no order, they can't send me an email because no order went through."
9999139,Credit card,General-purpose credit card or charge card,"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,JPMORGAN CHASE & CO.,CA,2024-09-03T22:57:16.000Z,Closed with explanation,Yes,"I opened a Chase Freedom Unlimited Card in XXXX of 2024 as the promotion on their website says Earn a {$200.00} bonus after you spend {$500.00} on purchases in the first 3 months from account opening. I spent the {$500.00} the first month I opened it and have been patiently waiting for my {$200.00} bonus to kick in. I called them today, XX/XX/year> and the representative informed me that when I signed up, they didnt have that promotion going on. The rep talked to the supervisor and they both claimed that they didnt have it at that time. 
I, myself, own multiple credit cards with XXXX XXXX XXXX. I am financially responsible, will only open a new credit card if there was a promotion for it. My point being is I wouldnt have opened this Chase Freedom Unlimited if they didnt have the bonus offer, but they did have that offer that same day I applied and got approved XX/XX/year>. 
This is false advertising, very misleading information to ultimately scam users into signing up for their credit card with nothing in return."
9999003,Credit card,Store credit card,"Other features, terms, or problems",Add-on products and services,"Bread Financial Holdings, Inc.",FL,2024-09-03T22:50:01.000Z,Closed with explanation,Yes,"XXXX XXXX store credit card company XXXX XXXX XXXX XXXX XXXX for assistance XX/XX/year>. Was misled that the credit protection being offered at the time was credit protection program i had been paying monthly for since inception of getting the credit card. I was told this assistance program in the pandemic would still require me to make payments each month. I later discovered that after I unknowingly signed up for the creditors self created program, the creditor took steps internally to cancel the real credit protection program underwritten by the third-party credit protection program vendor. ( I was provided this information by the XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  did this XX/XX/year> ). 

The disparaging part of this program that I was put on believing it was of financial assistance but yet it required monthly payments, ( that were lower than my regular payments, but were still required, ) and although they kept the fees at bay it did not reduce my balance. I ended up having to pay my balance down to the levels they outlined ; within XXXX  days of this, the creditor reduced my credit limit by the paid off amount ( not discussed or understood as a part of their program ). The subsequent immediate reduction of available credit was justified in a letter to me claiming they did a periodic review of my credit report. The time was highly coincidental and suspicious considering, they had never done this before for the nearly XXXX  years i had the card and was able to pay it routinely. 

The reduction in credit, of course since it was no longer an XXXX available on my credit report, impacted my credit and financial standing even more. Additionally, the payments I had to make monthly under this protection plan actually caused a more of a burden during a very difficult time. After finally being able to track down the information and the benefits I would have received from the third-party protection program that I paid for the entire balance of my card would have been paid based on the program terms that I knew I clearly met. Additionally, I would not have had to make any additional payments, and therefore my credit and overall financial standing may have been in a far better place than what had occurred. The credit protection would of course protected my credit and during the time of the plan issued by XXXX financial I was still reported monthly as being past due and late."
9998681,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"Bread Financial Holdings, Inc.",NV,2024-09-03T22:55:57.000Z,Closed with monetary relief,Yes,"On XX/XX/year>, I had a XXXX XXXX and paid {$XXXX} via my Comenity Bank credit card which covered my XXXX deductible. On XX/XX/year>, I had another medical appointment, and this office filed their claim with XXXX prior to the first visit and I was not aware of this issue until I received a bill from the XX/XX/year> appointment and paid the bill of {$XXXX} via my credit card. I contacted the medical office I had been at on XX/XX/year> and was told by their billing department that they had a credit on my account of {$XXXX} and claimed they had credited my charge card on XX/XX/year> for the overpayment. I waited for XXXX month for this transaction to be credited to my account before I reached out to XXXX XXXX XXXX XXXXXXXX XXXX. On XX/XX/year> I spoke with their representative who told me this dispute should be resolved quickly as medical offices do not like these types of disputes. On XX/XX/year>, I received a letter from XXXX requesting all the information I had previously given to their rep over the phone on XX/XX/year>. Prior to receiving this letter, I had been calling the automated customer service line which indicated the dispute claim was pending. On XX/XX/year>, I sent a letter to XXXX with the information they requested in their XX/XX/year> letter. On XX/XX/year>, I received a letter from XXXX stating they had received my claim and were currently researching it. I had periodically been calling the automated system to find out the status of the dispute, and it was indicating it was pending. Today, XX/XX/year>, I spoke with "" XXXX '' in the XXXX XXXX XXXXXXXX. who told me that he could see there was a dispute but could not tell me if it had been resolved. He transferred me to the XXXX XXXX, and I spoke with "" XXXX '' who informed me that the dispute had been resolved and the outcome was not in my favor but could not tell me why. XXXX stated a letter had been sent to me dated, XX/XX/year> explaining the resolution. I never received this letter. I asked that the letter be resent or emailed to me, and she informed me she could not do this. I asked her to tell me what the resolution was, and she could not do that either. She then stated I would need to restart the dispute process over again via Comenity Bank 's secure message website. I have had enough of attempting to get this dispute resolved since XX/XX/year> to no avail."
9998333,Credit card,Store credit card,"Other features, terms, or problems",Problem with customer service,"Bread Financial Holdings, Inc.",OH,2024-09-04T00:10:37.000Z,Closed with non-monetary relief,Yes,"I have been called XXXX times in 7 days or More becuase they use a private number. They called at XXXX XXXX on Sunday the week prior. I asked the lady if this was legal she said it was a automated dialer. I told her this is my day of worship. And she still proceeded to try to collect money. I have been contacted XXXX times since. Since then I now have XXXX dollars more I owe. a They call from different numbers at all times of day and night. It is already keeping me up knowing I can't do anything about it giving them money but the constant reminder, constantly is giving me XXXX. I can't even sleep thinking of how I'm going to make enough. I don't believe this is right. I can't afford a lawyer to defend my rights. This company is corrupt. 
They will not even update my report showing all the payments I have proof of witch is hurting my score they just keep saying it will update it's been 8 months. HELP ME"
9997523,Credit card,Store credit card,"Other features, terms, or problems",Other problem,SYNCHRONY FINANCIAL,NJ,2024-09-04T02:52:43.000Z,Closed with explanation,Yes,"HomeGoods Customer Service XXXX XXXX XXXX., XXXX, MA XXXX Dear sir, Recently, I started to receive the emails from your company. However, as far as I remember, I never agreed to have the subscription of these emails. Since I have the issue with TJX Reward Credit Card at this moment and I found out the TJX Reward Credit card was referred in the website of your company contact information, I do not want your company to send me email advertisement to avoid the impression your company and this credit card company, along with Synchrony Bank, share the personal information including email address. Please remove my email address from your email list, especially, TJX Reward Card Company created a credit card which had my name, without any agreement with me and consent after the closing of my account ahead of it. 
Sincerely,"
9996329,Credit card,General-purpose credit card or charge card,Getting a credit card,Application denied,CAPITAL ONE FINANCIAL CORPORATION,AR,2024-09-04T06:47:33.000Z,Closed with explanation,Yes,"XXXX XXXX XXXX XXXX XXXX XXXX. XXXX XXXX XXXX XXXX, AR XXXX Capital One EIN/TAX ID : XXXX Customer Service Department XXXX XXXX XXXX XXXX XXXX XXXX XXXX UT XXXX XXXX : Formal Complaint Regarding Credit Card Denial Due to Past Account - Violation of FCRA Dear Sir/Madam, I am writing to formally express my concern and lodge a complaint regarding the recent denial of my credit card application with Capital One. The adverse action notice I received stated that my application was denied due to a past account with Capital One. I believe this decision may be in violation of the Fair Credit Reporting Act ( FCRA ), which mandates that all credit reporting must be accurate, current, and relevant to the applicant 's present creditworthiness. 

Details of the Denial : Date of Application : XX/XX/year> Reference Number : XXXX Violation of the Fair Credit Reporting Act ( FCRA ) : The FCRA, 15 U.S.C. 1681, requires that credit information used to make credit decisions must be accurate, fair, and up-to-date. Denying my credit card application solely based on a past account, without considering my current creditworthiness or verifying whether the information is still relevant, is not consistent with the principles of the FCRA. 

Moreover, the FCRA mandates that consumers have the right to dispute inaccurate or outdated information on their credit reports. If the denial was based on such information, I am requesting a re-evaluation of my application based on accurate and current data. 

Request for Action : I respectfully request that Capital One : Reconsider my credit card application in light of my current financial status and credit history. 
Provide a clear and detailed explanation of the specific reasons for the denial, as required by the FCRA. 
Ensure that all information used in making this decision is accurate, relevant, and up-to-date. 
Supporting Documentation : Enclosed with this letter are the following documents : A copy of the adverse action notice I received. 
A copy of my credit report, highlighting any information related to the past account mentioned in the denial. 
Please address this matter promptly. If I do not receive a satisfactory response, I may be compelled to file a complaint with the Consumer Financial Protection Bureau ( CFPB ) or take legal action to ensure my rights under the FCRA are protected. 

Thank you for your prompt attention to this matter. 

Sincerely, XXXX XXXX"
9995922,Credit card,General-purpose credit card or charge card,Incorrect information on your report,Information belongs to someone else,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,2024-09-04T07:12:29.000Z,Closed with explanation,Yes,"I, XXXX XXXX, as a federally protected consumer and per the Fair Credit Reporting Act ( 15 USC 1681 ) I am now opting out of any and all authorizations that I XXXX have given you written, unwritten, oral, verbal or nonverbal per U.S.C 6802 effective immediately and indefinitely. XXXX XXXX"
